"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000005700",0.00262258885528713,6.71261006329013,0.000496342637073961,0.982516087885106,1,"IBTK"
"ENSG00000005801",-0.0730792789225628,6.24112766392946,0.290632910057917,0.595099401798534,1,"ZNF195"
"ENSG00000005810",0.0156378089552133,9.30306772720237,0.0559180281829939,0.815203234324903,1,"MYCBP2"
"ENSG00000005812",-0.138792042545765,6.82079301750051,1.94973133866929,0.20002082898268,1,"FBXL3"
"ENSG00000005844",0.106970865968794,9.97605678359001,1.99791994396146,0.1711744271669,1,"ITGAL"
"ENSG00000005882",0.0600767782639688,4.68284864733959,0.145510235512011,0.809869877850091,1,"PDK2"
"ENSG00000005884",0.134878670797846,3.64352473711071,0.350403044744545,0.717786813894978,1,"ITGA3"
"ENSG00000005889",-0.0239937069239089,6.9551508736492,0.113575618377808,0.822571050301902,1,"ZFX"
"ENSG00000005893",-0.125041006512447,7.05715619853449,0.350488315126755,0.559727566931545,1,"LAMP2"
"ENSG00000005961",-0.00838791323797964,2.62827258131013,0.000882861418254215,0.981344756651855,1,"ITGA2B"
"ENSG00000006007",0.0656610028681928,5.4685109044843,0.280242158357775,0.738082395584607,1,"GDE1"
"ENSG00000006015",0.0483027921380235,5.42752211633659,0.0477457002258072,0.828999232275685,1,"REX1BD"
"ENSG00000006025",0.00645384446602241,6.49171445578121,0.00265858676622161,0.959332225398808,1,"OSBPL7"
"ENSG00000006062",-0.0144715398218921,6.50382681341087,0.00945503501362701,0.923397435029614,1,"MAP3K14"
"ENSG00000006125",0.00165589915056966,8.00522835282416,0.000723684780531574,0.981737699216822,1,"AP2B1"
"ENSG00000006194",0.102986314042755,5.62291964627047,0.562105979042809,0.568167471249212,1,"ZNF263"
"ENSG00000006282",-0.207002049966854,5.12299429793673,1.86721769131597,0.323327499192823,1,"SPATA20"
"ENSG00000006432",-0.134243269471539,4.71314288414914,0.694796939264107,0.578003964560231,1,"MAP3K9"
"ENSG00000006451",-0.20726653093372,5.56532188196478,2.67210609570369,0.26216226266421,1,"RALA"
"ENSG00000006459",-0.160127525740328,8.50436373479265,2.46138807766356,0.130605111207976,1,"KDM7A"
"ENSG00000006530",-0.0491083256420698,5.18099834102556,0.195789964269937,0.787683125005883,1,"AGK"
"ENSG00000006534",0.0100588017081891,4.95152274248398,0.0015409987760583,0.973165741950498,1,"ALDH3B1"
"ENSG00000006555",-0.186767121733966,4.76323717479357,1.11866612048721,0.411809551312744,1,"TTC22"
"ENSG00000006576",-0.214046142965247,6.0970346305817,2.57389478733252,0.1281393151978,1,"PHTF2"
"ENSG00000006607",-0.00909934374710216,5.41207247771804,0.00532590321406803,0.961700058649618,1,"FARP2"
"ENSG00000006625",-0.202420708038604,3.32502300700115,0.638295738437572,0.657441526771628,1,"GGCT"
"ENSG00000006634",-0.0693757671862019,4.57352051747874,0.141654416449592,0.772417549215989,1,"DBF4"
"ENSG00000006652",-0.148413883109092,5.7779621431604,2.13834134875624,0.330960886123142,1,"IFRD1"
"ENSG00000006695",0.199682868982904,4.61373190772635,1.95289254616183,0.430998809038798,1,"COX10"
"ENSG00000006712",-0.112348166528092,5.4297605151636,0.805615066258269,0.526638733990596,1,"PAF1"
"ENSG00000006715",0.0916940619026969,6.53097060130398,1.48127712824375,0.477759186850543,1,"VPS41"
"ENSG00000006744",0.13153079164212,6.08439886703248,1.06638724390242,0.357835854336962,1,"ELAC2"
