target_id	length	eff_length	est_counts	tpm
	1463	1364	20.2173	0.89918
	773	674	0	0
	1230	1131	0	0
	1659	1560	16.433	0.639043
	728	629	0	0
	860	761	7.31242	0.582928
	982	883	17.398	1.1953
	697	598	16.4731	1.67114
	789	690	3.81069	0.335037
	400	301	0	0
	1014	915	18.163	1.20422
	816	717	0	0
	812	713	7.8208	0.665427
	585	486	0	0
	780	681	0	0
	1251	1152	0	0
	865	766	0	0
	246	147	0	0
	512	413	0	0
	613	514	10542.6	1244.29
	589	490	176.964	21.9092
	639	540	43.1363	4.84605
	685	586	9.79901	1.01443
	642	543	13.6404	1.52394
	996	897	18.869	1.27613
	1109	1010	18.8489	1.13215
	413	314	7.38806	1.42738
	1986	1887	78.3621	2.51926
	1844	1745	155.812	5.41681
	1967	1868	41.086	1.33431
	812	713	0	0
	2219	2120	30.9472	0.885572
	1834	1735	179.69	6.28293
	2368	2269	45.8654	1.22628
	996	897	9.38043	0.634408
	609	510	0	0
	730	631	3.66201	0.352069
	1639	1540	2.18484	0.086067
	1521	1422	3.62418	0.154614
	2247	2148	0.000280831	7.93139e-06
	1628	1529	14.0666	0.558111
	584	485	8.44415	1.05622
	1110	1011	0	0
	2237	2138	7.83834	0.22241
	1101	1002	16.8867	1.02239
	417	318	4.16912	0.795346
	2690	2591	6.9916	0.1637
	1828	1729	60.6021	2.12633
	4547	4448	100.653	1.37277
	1117	1018	36.8565	2.19637
	857	758	107.838	8.63058
	954	855	0	0
	1103	1004	0	0
	1034	935	127.709	8.28604
	773	674	10.4429	0.939941
	972	873	0	0
	812	713	0	0
	734	635	7.22591	0.690331
	848	749	12.3922	1.0037
	706	607	43.048	4.30233
	910	811	8.07153	0.603773
	873	774	2.73402	0.214289
	584	485	0	0
	553	454	34.428	4.60039
	1178	1079	1.7604	0.0989757
	1437	1338	0	0
	1427	1328	96.6528	4.41524
	1616	1517	0	0
	1534	1435	164.129	6.93861
	1392	1293	0	0
	2255	2156	0	0
	3147	3048	8.05729	0.160366
	537	438	0	0
	581	482	3.38523	0.426069
	1292	1193	0.563499	0.0286544
	699	600	64.8042	6.55225
	1437	1338	0	0
	541	442	1.08575	0.149021
	768	669	0	0
	1464	1365	83.8958	3.7286
	1416	1317	14.7939	0.681454
	2029	1930	0	0
	923	824	0	0
	624	525	0	0
	366	267	0	0
	2093	1994	0	0
	461	362	0	0
	321	222	1.88168	0.514199
	1579	1480	0	0
	528	429	0	0
	1181	1082	7.46855	0.418743
	719	620	0	0
	1480	1381	45.0825	1.9804
	2660	2561	22.1021	0.523556
	1470	1371	0	0
	1623	1524	24.5816	0.978508
	2027	1928	22.846	0.718855
	629	530	4.55478	0.521351
	565	466	13.795	1.79587
	609	510	5.65078	0.672166
	6543	6444	8.82831	0.0831114
	1069	970	0	0
	566	467	0	0
	2160	2061	0	0
	6604	6505	2.7698e-05	2.58309e-07
	3338	3239	25.1387	0.470836
	2960	2861	638.08	13.5299
	2602	2503	9.2929	0.225231
	743	644	11.4821	1.08162
	878	779	16.9307	1.31849
	505	406	4.91599	0.734554
	547	448	9.87369	1.33703
	786	687	59.7424	5.27551
	453	354	3.63724	0.623315
	925	826	0	0
	1060	961	0	0
	1592	1493	0	0
	1888	1789	90.4101	3.06581
	2899	2800	10.3195	0.223584
	1292	1193	7.93627	0.403566
	888	789	15.3888	1.18322
	677	578	0	0
	2301	2202	23.0281	0.634423
	5953	5854	142.26	1.47424
	4803	4704	1005.56	12.9682
	2791	2692	0	0
	2883	2784	206.498	4.49972
	869	770	4.31548	0.339998
	728	629	0	0
	2837	2738	7.91782	0.175433
	759	660	8.44811	0.776523
	736	637	0	0
	3472	3373	0.0991754	0.00178372
	3481	3382	117.215	2.10257
	2879	2780	29.7846	0.649958
	3062	2963	1503.55	30.7841
	3059	2960	891.019	18.2614
	727	628	13.4302	1.29737
	1305	1206	73.8887	3.7168
	780	681	47.8475	4.26237
	550	451	37.3191	5.01988
	692	593	0.000142683	1.45967e-05
	780	681	153.426	13.6675
	10265	10166	188.975	1.1277
	3072	2973	378.541	7.72425
	426	327	0	0
	644	545	173.484	19.3108
	399	300	0	0
	2456	2357	22.4193	0.577034
	500	401	0	0
	5925	5826	46.7615	0.486919
	6015	5916	92.6671	0.950246
	529	430	0	0
	882	783	2.9218	0.226374
	3589	3490	21.8264	0.379398
	5968	5869	292.7	3.0255
	556	457	0	0
	546	447	0	0
	546	447	11.7195	1.59053
	5998	5899	263.669	2.71156
	1658	1559	0	0
	1810	1711	0	0
	3579	3480	55.8414	0.973455
	4027	3928	30.3539	0.468793
	3762	3663	2.708	0.0448487
	3684	3585	0	0
	630	531	6.7035	0.765853
	699	600	1.62129	0.163926
	1897	1798	0	0
	6898	6799	5.31391e-08	4.74141e-10
	2872	2773	532.969	11.6598
	491	392	8.53147	1.32031
	1911	1812	5.41821	0.181399
	487	388	0	0
	6678	6579	3355.27	30.939
	5576	5477	0	0
	1765	1666	121.738	4.43292
	1183	1084	0	0
	592	493	0	0
	498	399	0	0
	3430	3331	396.931	7.22901
	1130	1031	84.4439	4.96877
	708	609	2.13977	0.213152
	513	414	2.71694	0.398124
	632	533	0	0
	551	452	3.84673	0.516288
	653	554	4.94461	0.541453
	3335	3236	186.179	3.49028
	2729	2630	163.407	3.76925
	2350	2251	361.152	9.73315
	2021	1922	0	0
	1104	1005	0	0
	679	580	31.3989	3.28416
	781	682	0	0
	2483	2384	84.0417	2.13859
	602	503	0	0
	6928	6829	1384.63	12.3003
	3118	3019	0	0
	904	805	0	0
	521	422	3.21999	0.462893
	4113	4014	233.675	3.53162
	4241	4142	581.689	8.5196
	1092	993	0	0
	550	451	0	0
	553	454	13.218	1.76623
	566	467	25.2822	3.28425
	565	466	0	0
	578	479	4.96299	0.62856
	506	407	2.51014	0.374146
	556	457	3.28513	0.436089
	558	459	5.01049	0.662226
	836	737	249.063	20.5012
	888	789	8.91012	0.685086
	3525	3426	304.394	5.38998
	1536	1437	0	0
	4230	4131	2293.2	33.6763
	3671	3572	2493	42.3399
	2622	2523	394.883	9.49489
	839	740	15.1782	1.2443
	599	500	2.13028	0.258467
	953	854	0	0
	413	314	0	0
	791	692	6.22759	0.545949
	637	538	0	0
	3035	2936	372.674	7.70037
	3866	3767	78.1793	1.25903
	2697	2598	0	0
	3219	3120	469.182	9.12274
	533	434	0	0
	655	556	0	0
	773	674	0.818082	0.0736335
	849	750	0	0
	620	521	0	0
	570	471	36.7046	4.72757
	475	376	4.17954	0.674341
	531	432	162.896	22.8752
	2579	2480	78.6486	1.92388
	3859	3760	447.073	7.21323
	6119	6020	3074.87	30.9862
	1151	1052	0	0
	884	785	0	0
	591	492	0	0
	3606	3507	187.705	3.24698
	1677	1578	67.1208	2.58041
	631	532	4.37796	0.499228
	939	840	37.5474	2.71169
	2373	2274	0	0
	1764	1665	0	0
	2244	2145	0	0
	1320	1221	0	0
	2191	2092	0	0
	2141	2042	0	0
	2167	2068	19.3132	0.566557
	2164	2065	0	0
	2440	2341	18.4778	0.478838
	1444	1345	0	0
	566	467	0	0
	581	482	0	0
	579	480	0	0
