"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000006740",-0.10850395459917,1.18439415647906,0.306777054190186,0.586575526776328,1,"ARHGAP44"
"ENSG00000006744",-0.158882249171862,5.0833308591167,3.21733808751388,0.0899170554684116,1,"ELAC2"
"ENSG00000006747",0.172353476125347,2.71129543833872,1.79009544658105,0.197805168541225,1,"SCIN"
"ENSG00000006756",-0.0311672628606878,6.04077316611497,0.130681362705193,0.721994072308346,1,"ARSD"
"ENSG00000006757",0.360994574860396,2.64055755171105,10.4558041620118,0.00467418193613656,0.637357185686488,"PNPLA4"
"ENSG00000006831",0.0424079001886101,6.45450293989483,0.365399422982221,0.553172177011209,1,"ADIPOR2"
"ENSG00000006837",-0.237178018978013,1.48239115047952,1.3296477339175,0.264160863264649,1,"CDKL3"
"ENSG00000007047",-0.010184186999427,5.6920808770344,0.00579324205760049,0.940180287350679,1,"MARK4"
"ENSG00000007080",-0.0742402353120575,4.8356360077887,0.369759378657897,0.550837909975959,1,"CCDC124"
"ENSG00000007129",0.0106442929685072,2.14908511502878,0.00366640908442825,0.952393480707394,1,"CEACAM21"
"ENSG00000007168",-0.0289717133796912,6.03835665165551,0.0597213253549666,0.809739634524548,1,"PAFAH1B1"
"ENSG00000007171",-0.0212464710700908,-1.59183853529413,0.00191686112116034,0.965566989111095,1,"NOS2"
"ENSG00000007202",0.0203459490086378,7.89322239932051,0.0673171704180671,0.79826922730546,1,"KIAA0100"
"ENSG00000007237",0.502688725410019,6.65144506581756,14.2526624771537,0.00141490455489998,0.282098218230151,"GAS7"
"ENSG00000007255",-0.0739093187487155,4.99459536050816,0.384571883642999,0.543047185580521,1,"TRAPPC6A"
"ENSG00000007264",0.0971072458188343,2.77890034461333,0.4047774625601,0.532751479071153,1,"MATK"
"ENSG00000007312",0.0288765703979628,1.80040553919369,0.0221627571436591,0.883333328231162,1,"CD79B"
"ENSG00000007314",0.632657731736406,0.52092853268528,2.84214447663388,0.109320085113862,1,"SCN4A"
"ENSG00000007341",0.00928006165176541,4.3482443827429,0.00544426964346669,0.942006415208105,1,"ST7L"
"ENSG00000007350",0.0470975912970653,6.02653652297741,0.370055184602486,0.550680229140071,1,"TKTL1"
"ENSG00000007376",-0.142899155075143,4.9292614676005,1.07116003127833,0.314579705073691,1,"RPUSD1"
"ENSG00000007384",-0.251783707520258,4.16332921976704,7.80872961024214,0.0120919063784581,0.981765858054176,"RHBDF1"
"ENSG00000007392",-0.111573170065131,4.96383776050946,0.603965965488096,0.447303596225135,1,"LUC7L"
"ENSG00000007402",0.157968731975789,-1.11276749782314,0.0504147177734298,0.824907694135612,1,"CACNA2D2"
"ENSG00000007516",0.0988669182128521,1.08392331592782,0.11780676962431,0.735457367621727,1,"BAIAP3"
"ENSG00000007520",-0.0752358757022707,4.58558752472119,0.324612720267601,0.575989616238386,1,"TSR3"
"ENSG00000007541",-0.256825006384931,5.10526455290025,1.25729387084834,0.27710574923177,1,"PIGQ"
"ENSG00000007545",0.0110965112072871,5.69348309073687,0.0114821788258929,0.915867980251275,1,"CRAMP1"
"ENSG00000007866",0.00116860054417278,2.74936606530057,8.70622793710648e-05,0.992659349031046,1,"TEAD3"
"ENSG00000007923",0.0416423274141519,5.89241464846499,0.150625836804059,0.702553472178926,1,"DNAJC11"
"ENSG00000007933",0.317140433155844,-1.84877469053941,0.201705433910485,0.658783276060616,1,"FMO3"
"ENSG00000007944",-0.131249997843457,5.80975878827776,0.434215342703709,0.518385863060733,1,"MYLIP"
"ENSG00000007968",-0.0960328504158854,4.29916995788849,0.79194018343903,0.385417489333566,1,"E2F2"
"ENSG00000008018",-0.0285339170915577,7.27031211516561,0.187959093620606,0.669843992973337,1,"PSMB1"
"ENSG00000008056",0.799832046203012,-1.40878887328172,1.12144608515078,0.303806886774583,1,"SYN1"
"ENSG00000008083",-0.0372773755423449,5.70432496894175,0.11855198024268,0.734656083205429,1,"JARID2"
"ENSG00000008086",0.102212206425318,2.18274845631073,0.191257354744132,0.66714690291897,1,"CDKL5"
"ENSG00000008128",-0.0735353621040611,5.59569265487018,0.3067445607176,0.586595179752922,1,"CDK11A"
"ENSG00000008130",0.176100950392263,6.57117772099923,4.49503365089929,0.0483543253499598,1,"NADK"
"ENSG00000008226",0.15567789286189,0.0786346590793074,0.0974252192897448,0.758578651614799,1,"DLEC1"
"ENSG00000008256",-0.121491189537468,4.72082906587699,0.605720132953126,0.446655532192074,1,"CYTH3"
"ENSG00000008277",0.0560052208717296,1.81091533834365,0.0637201737557338,0.80360989415137,1,"ADAM22"
"ENSG00000008282",-0.0360257643819932,6.79627102953863,0.288041851094797,0.598141686043528,1,"SYPL1"
"ENSG00000008283",-0.201308832499908,3.10845889283262,1.84618656018114,0.191245586380771,1,"CYB561"
"ENSG00000008294",0.103784998315516,6.89113293673804,0.579204443938703,0.456617145948859,1,"SPAG9"
"ENSG00000008300",0.167149800507679,2.4141406418299,1.61742746491826,0.219862875422627,1,"CELSR3"
"ENSG00000008311",-0.0522233956940927,2.41795312515635,0.147893562237288,0.705125407833873,1,"AASS"
"ENSG00000008324",0.00301561595811011,4.25352898664264,0.00105093958291364,0.974500319323388,1,"SS18L2"
"ENSG00000008382",-0.123305785791008,4.16178859514422,1.01575034533098,0.32707214681955,1,"MPND"
"ENSG00000008394",0.0257267104512661,6.1022523532106,0.0680101693281201,0.797257971068019,1,"MGST1"
"ENSG00000008405",-0.101085772349642,3.07349510539228,0.522997149675232,0.478988640908223,1,"CRY1"
"ENSG00000008441",-0.0079679141832963,4.81980267956883,0.0033546007226719,0.954460294900765,1,"NFIX"
"ENSG00000008513",0.333332786490232,6.5777860274306,8.31305107788525,0.0099985986489526,0.936592869995853,"ST3GAL1"
"ENSG00000008516",0.135255319661728,2.68768307074019,0.804399072924561,0.381785489855718,1,"MMP25"
"ENSG00000008517",-0.341947014677278,0.418805912220616,1.36042121897089,0.258897912294467,1,"IL32"
"ENSG00000008710",-0.09839848454271,7.07923865167133,0.563041262797843,0.462869353065978,1,"PKD1"
"ENSG00000008735",-0.156983762267629,-0.216234490417113,0.201529000775496,0.658922311665678,1,"MAPK8IP2"
"ENSG00000008838",-0.0230515115415825,6.30528145878211,0.0284466503323716,0.867970149855669,1,"MED24"
"ENSG00000008853",-0.0892014519306546,5.77364892027035,0.73670445860592,0.4021611238242,1,"RHOBTB2"
"ENSG00000008869",-0.182517846516762,5.62902350501301,2.62639223067452,0.122729813601648,1,"HEATR5B"
"ENSG00000008952",0.052971480587684,6.743767549174,0.358262473268797,0.557034959407744,1,"SEC62"
"ENSG00000008988",0.0371362025639331,10.3369764462537,0.245237686510154,0.626523345220249,1,"RPS20"
"ENSG00000009307",0.0634770002057778,9.71432174104021,0.4540040885233,0.509119918345099,1,"CSDE1"
"ENSG00000009335",-0.0198791663929191,6.62560513290258,0.0319726997325368,0.860112782343303,1,"UBE3C"
"ENSG00000009413",0.0838910567246261,5.8174947051015,0.947375787574322,0.34346735996605,1,"REV3L"
"ENSG00000009694",1.32030299459014,-1.08370155869875,5.04118953151498,0.0377404443268297,1,"TENM1"
"ENSG00000009724",-0.120542099340701,1.76336701359019,0.276085473184471,0.605781112832916,1,"MASP2"
"ENSG00000009765",-0.548031901345184,-1.50673142099459,0.534953424671554,0.474078200120771,1,"IYD"
"ENSG00000009780",0.134304706964095,2.9282850059663,0.365928032699206,0.552888145637151,1,"FAM76A"
"ENSG00000009790",0.184135517655358,6.39416945767397,3.41429870257882,0.0813690515046337,1,"TRAF3IP3"
"ENSG00000009830",-0.178763042093471,3.98917225519023,0.266382847723564,0.612138650774148,1,"POMT2"
"ENSG00000009844",0.00663064459998144,6.33923225217215,0.00556227341343109,0.941382499753756,1,"VTA1"
"ENSG00000009950",0.163503620726147,2.26669922876331,1.14783154960886,0.298356040991976,1,"MLXIPL"
"ENSG00000009954",-0.0202444473719676,7.00115996841878,0.0619527471598419,0.806293105713929,1,"BAZ1B"
"ENSG00000010017",-0.141820292531622,5.61522478022104,1.76295192613803,0.201080934087205,1,"RANBP9"
"ENSG00000010030",-0.0139133215432362,-1.01565502666667,0.00104964680516737,0.974516002134847,1,"ETV7"
"ENSG00000010072",-0.0336323419570491,4.53272006680896,0.058515917637201,0.811629956334163,1,"SPRTN"
"ENSG00000010165",0.0136100821251672,5.77334978333561,0.0264469082297494,0.872650809804464,1,"METTL13"
"ENSG00000010219",0.0286458853537527,0.0754110107956694,0.00870125405302033,0.926725587864437,1,"DYRK4"
"ENSG00000010244",0.00162467704476875,8.02457710111663,0.000475721059867488,0.982842024965237,1,"ZNF207"
"ENSG00000010256",-0.0134905006656389,7.14758330257006,0.0340778470231815,0.855634168446092,1,"UQCRC1"
"ENSG00000010270",-0.0230772093534644,5.50514371622511,0.072063214671575,0.791451274150459,1,"STARD3NL"
"ENSG00000010278",0.134072123447224,2.61723249217659,0.254001001662885,0.620470125489923,1,"CD9"
"ENSG00000010292",0.076871466034461,7.26837716935522,0.817958960392121,0.377890036523799,1,"NCAPD2"
"ENSG00000010295",-0.12226415436957,5.45509494104658,1.21922400824955,0.28425792684763,1,"IFFO1"
"ENSG00000010310",0.0023575914810019,4.86901172842183,0.000311323331574967,0.986119399770886,1,"GIPR"
"ENSG00000010318",-0.159690159436884,3.80013398237826,1.66669944612263,0.213263588311761,1,"PHF7"
"ENSG00000010319",-0.0132793885320728,2.7246084837418,0.00809141909884635,0.929332402558642,1,"SEMA3G"
"ENSG00000010322",-0.0271906055548445,6.80028781937324,0.11280322204009,0.740912617805343,1,"NISCH"
"ENSG00000010361",-0.0498082686592187,1.04324107758603,0.0501050318529397,0.825436864026693,1,"FUZ"
"ENSG00000010404",0.0806800495816774,5.62379333498609,0.622531210978297,0.440520846747537,1,"IDS"
"ENSG00000010539",0.0200117999695438,4.7609707744973,0.0421393237948701,0.83969029133424,1,"ZNF200"
"ENSG00000010610",-0.0306047577283663,7.9172291367082,0.105621471384258,0.748984589565765,1,"CD4"
"ENSG00000010626",0.131776587457228,0.82823052913909,0.333247496453854,0.571003670648594,1,"LRRC23"
"ENSG00000010671",-0.108807663896705,6.72665285861192,1.90098706593234,0.185097780065367,1,"BTK"
"ENSG00000010704",-0.108198897325188,-0.60854506655475,0.132794816457879,0.75864399963534,1,"HFE"
"ENSG00000010803",-0.00658214282485262,7.88566409496953,0.00952697132677153,0.923338764700622,1,"SCMH1"
"ENSG00000010810",0.0556603722506038,4.695193186697,0.259743137933954,0.616575012440505,1,"FYN"
"ENSG00000010818",0.476258486046431,5.24964502273188,4.08647990616502,0.0585706256724857,1,"HIVEP2"
"ENSG00000011007",0.0325799746679574,5.35805326689328,0.201740255992574,0.658755843716958,1,"ELOA"
"ENSG00000011009",-0.07408466688247,5.58879018487678,0.612327469056833,0.44422806978468,1,"LYPLA2"
